iter	Passed	Remaining
400	7371	11011
401	7390	10993
402	7407	10973
403	7430	10961
404	7451	10947
405	7470	10930
406	7485	10906
407	7498	10880
408	7511	10854
409	7523	10826
410	7537	10802
411	7550	10775
412	7563	10750
413	7573	10719
414	7585	10692
415	7598	10666
416	7610	10639
417	7619	10609
418	7633	10584
419	7645	10558
420	7662	10538
421	7675	10513
422	7685	10484
423	7698	10458
424	7711	10433
425	7723	10407
426	7734	10379
427	7753	10361
428	7769	10340
429	7786	10321
430	7799	10297
431	7814	10274
432	7830	10254
433	7850	10238
434	7865	10216
435	7882	10196
436	7898	10175
437	7913	10154
438	7928	10131
439	7948	10116
440	7964	10096
441	7979	10073
442	7992	10048
443	8002	10021
444	8013	9994
445	8025	9968
446	8037	9943
447	8047	9916
448	8060	9891
449	8073	9867
450	8084	9841
451	8094	9813
452	8111	9794
453	8123	9769
454	8140	9750
455	8151	9725
456	8167	9704
457	8179	9679
458	8192	9656
459	8206	9633
460	8216	9607
461	8226	9579
462	8238	9555
463	8253	9534
464	8268	9513
465	8278	9486
466	8290	9461
467	8302	9438
468	8312	9411
469	8324	9386
470	8336	9363
471	8350	9341
472	8361	9315
473	8373	9292
474	8387	9269
475	8399	9246
476	8410	9221
477	8421	9197
478	8434	9174
479	8444	9148
480	8457	9125
481	8471	9104
482	8484	9081
483	8495	9057
484	8506	9032
485	8519	9010
486	8531	8987
487	8541	8961
488	8556	8941
489	8573	8923
490	8591	8906
491	8614	8894
492	8631	8876
493	8651	8861
494	8670	8845
495	8685	8825
496	8701	8806
497	8715	8786
498	8726	8761
499	8738	8738
500	8753	8718
501	8769	8700
502	8784	8680
503	8799	8659
504	8814	8640
505	8828	8619
506	8841	8597
507	8853	8574
508	8868	8555
509	8883	8535
510	8900	8517
511	8914	8497
512	8930	8477
513	8943	8456
514	8954	8432
515	8968	8412
516	8981	8390
517	9000	8374
518	9025	8364
519	9051	8354
520	9082	8350
521	9098	8331
522	9127	8324
523	9153	8315
524	9177	8303
525	9192	8283
526	9203	8260
527	9218	8241
528	9234	8222
529	9249	8202
530	9263	8182
531	9277	8161
532	9287	8137
533	9298	8114
534	9311	8093
535	9324	8072
536	9334	8048
537	9347	8026
538	9359	8004
539	9370	7982
540	9382	7960
541	9397	7940
542	9412	7921
543	9432	7906
544	9449	7889
545	9466	7871
546	9480	7851
547	9495	7832
548	9510	7812
549	9527	7794
550	9540	7774
551	9550	7751
552	9563	7730
553	9574	7708
554	9586	7686
555	9596	7663
556	9607	7641
557	9619	7619
558	9630	7597
559	9645	7578
560	9660	7559
561	9675	7541
562	9690	7521
563	9706	7503
564	9721	7484
565	9738	7467
566	9754	7448
567	9770	7430
568	9783	7410
569	9794	7388
570	9806	7367
571	9819	7347
572	9834	7328
573	9844	7306
574	9857	7286
575	9871	7266
576	9881	7244
577	9892	7222
578	9904	7201
579	9917	7181
580	9928	7160
581	9939	7139
582	9955	7120
583	9971	7102
584	9987	7085
585	10002	7066
586	10019	7049
587	10038	7033
588	10056	7017
